thr_YES,thr_NO,thr_TBD,macro_f1,fallback_mode
0.1,0.1,0.1,0.821317,tbd
0.1,0.1,0.2,0.821317,tbd
0.1,0.1,0.30000000000000004,0.821317,tbd
0.1,0.1,0.4,0.820978,tbd
0.1,0.1,0.5,0.819645,tbd
0.1,0.1,0.6,0.815711,tbd
0.1,0.1,0.7000000000000001,0.809361,tbd
0.1,0.1,0.8,0.79387,tbd
0.1,0.1,0.9,0.774248,tbd
0.1,0.2,0.1,0.821317,tbd
0.1,0.2,0.2,0.821317,tbd
0.1,0.2,0.30000000000000004,0.821317,tbd
0.1,0.2,0.4,0.820978,tbd
0.1,0.2,0.5,0.819645,tbd
0.1,0.2,0.6,0.815711,tbd
0.1,0.2,0.7000000000000001,0.809327,tbd
0.1,0.2,0.8,0.797389,tbd
0.1,0.2,0.9,0.789624,tbd
0.1,0.30000000000000004,0.1,0.821317,tbd
0.1,0.30000000000000004,0.2,0.821317,tbd
0.1,0.30000000000000004,0.30000000000000004,0.821317,tbd
0.1,0.30000000000000004,0.4,0.820978,tbd
0.1,0.30000000000000004,0.5,0.81965,tbd
0.1,0.30000000000000004,0.6,0.815991,tbd
0.1,0.30000000000000004,0.7000000000000001,0.81063,tbd
0.1,0.30000000000000004,0.8,0.802118,tbd
0.1,0.30000000000000004,0.9,0.794584,tbd
0.1,0.4,0.1,0.821208,tbd
0.1,0.4,0.2,0.821208,tbd
0.1,0.4,0.30000000000000004,0.821208,tbd
0.1,0.4,0.4,0.820953,tbd
0.1,0.4,0.5,0.81952,tbd
0.1,0.4,0.6,0.816587,tbd
0.1,0.4,0.7000000000000001,0.812855,tbd
0.1,0.4,0.8,0.804528,tbd
0.1,0.4,0.9,0.797157,tbd
0.1,0.5,0.1,0.821034,tbd
0.1,0.5,0.2,0.821034,tbd
0.1,0.5,0.30000000000000004,0.821054,tbd
0.1,0.5,0.4,0.820808,tbd
0.1,0.5,0.5,0.81966,tbd
0.1,0.5,0.6,0.817002,tbd
0.1,0.5,0.7000000000000001,0.813351,tbd
0.1,0.5,0.8,0.805163,tbd
0.1,0.5,0.9,0.797914,tbd
0.1,0.6,0.1,0.820699,tbd
0.1,0.6,0.2,0.820699,tbd
0.1,0.6,0.30000000000000004,0.820549,tbd
0.1,0.6,0.4,0.81995,tbd
0.1,0.6,0.5,0.818831,tbd
0.1,0.6,0.6,0.816232,tbd
0.1,0.6,0.7000000000000001,0.812653,tbd
0.1,0.6,0.8,0.804604,tbd
0.1,0.6,0.9,0.797477,tbd
0.1,0.7000000000000001,0.1,0.818254,tbd
0.1,0.7000000000000001,0.2,0.818226,tbd
0.1,0.7000000000000001,0.30000000000000004,0.817632,tbd
0.1,0.7000000000000001,0.4,0.817046,tbd
0.1,0.7000000000000001,0.5,0.815951,tbd
0.1,0.7000000000000001,0.6,0.813402,tbd
0.1,0.7000000000000001,0.7000000000000001,0.809888,tbd
0.1,0.7000000000000001,0.8,0.801971,tbd
0.1,0.7000000000000001,0.9,0.794964,tbd
0.1,0.8,0.1,0.812834,tbd
0.1,0.8,0.2,0.812825,tbd
0.1,0.8,0.30000000000000004,0.812242,tbd
0.1,0.8,0.4,0.811671,tbd
0.1,0.8,0.5,0.810603,tbd
0.1,0.8,0.6,0.808112,tbd
0.1,0.8,0.7000000000000001,0.804671,tbd
0.1,0.8,0.8,0.796906,tbd
0.1,0.8,0.9,0.790035,tbd
0.1,0.9,0.1,0.790914,tbd
0.1,0.9,0.2,0.790879,tbd
0.1,0.9,0.30000000000000004,0.790271,tbd
0.1,0.9,0.4,0.789661,tbd
0.1,0.9,0.5,0.788547,tbd
0.1,0.9,0.6,0.78602,tbd
0.1,0.9,0.7000000000000001,0.782572,tbd
0.1,0.9,0.8,0.774928,tbd
0.1,0.9,0.9,0.768189,tbd
0.2,0.1,0.1,0.821317,tbd
0.2,0.1,0.2,0.821317,tbd
0.2,0.1,0.30000000000000004,0.821317,tbd
0.2,0.1,0.4,0.820978,tbd
0.2,0.1,0.5,0.819645,tbd
0.2,0.1,0.6,0.815711,tbd
0.2,0.1,0.7000000000000001,0.80927,tbd
0.2,0.1,0.8,0.797457,tbd
0.2,0.1,0.9,0.786369,tbd
0.2,0.2,0.1,0.821317,tbd
0.2,0.2,0.2,0.821317,tbd
0.2,0.2,0.30000000000000004,0.821317,tbd
0.2,0.2,0.4,0.820978,tbd
0.2,0.2,0.5,0.819645,tbd
0.2,0.2,0.6,0.815711,tbd
0.2,0.2,0.7000000000000001,0.810103,tbd
0.2,0.2,0.8,0.803974,tbd
0.2,0.2,0.9,0.803974,tbd
0.2,0.30000000000000004,0.1,0.821317,tbd
0.2,0.30000000000000004,0.2,0.821317,tbd
0.2,0.30000000000000004,0.30000000000000004,0.821317,tbd
0.2,0.30000000000000004,0.4,0.820978,tbd
0.2,0.30000000000000004,0.5,0.81965,tbd
0.2,0.30000000000000004,0.6,0.816021,tbd
0.2,0.30000000000000004,0.7000000000000001,0.812099,tbd
0.2,0.30000000000000004,0.8,0.809229,tbd
0.2,0.30000000000000004,0.9,0.809229,tbd
0.2,0.4,0.1,0.821208,tbd
0.2,0.4,0.2,0.821208,tbd
0.2,0.4,0.30000000000000004,0.821208,tbd
0.2,0.4,0.4,0.820953,tbd
0.2,0.4,0.5,0.81981,tbd
0.2,0.4,0.6,0.817532,tbd
0.2,0.4,0.7000000000000001,0.815212,tbd
0.2,0.4,0.8,0.812416,tbd
0.2,0.4,0.9,0.812416,tbd
0.2,0.5,0.1,0.821034,tbd
0.2,0.5,0.2,0.821034,tbd
0.2,0.5,0.30000000000000004,0.821054,tbd
0.2,0.5,0.4,0.820858,tbd
0.2,0.5,0.5,0.820324,tbd
0.2,0.5,0.6,0.818304,tbd
0.2,0.5,0.7000000000000001,0.816039,tbd
0.2,0.5,0.8,0.813294,tbd
0.2,0.5,0.9,0.813294,tbd
0.2,0.6,0.1,0.820699,tbd
0.2,0.6,0.2,0.820699,tbd
0.2,0.6,0.30000000000000004,0.820627,tbd
0.2,0.6,0.4,0.820435,tbd
0.2,0.6,0.5,0.819913,tbd
0.2,0.6,0.6,0.817934,tbd
0.2,0.6,0.7000000000000001,0.815714,tbd
0.2,0.6,0.8,0.813019,tbd
0.2,0.6,0.9,0.813019,tbd
0.2,0.7000000000000001,0.1,0.818239,tbd
0.2,0.7000000000000001,0.2,0.818239,tbd
0.2,0.7000000000000001,0.30000000000000004,0.818168,tbd
0.2,0.7000000000000001,0.4,0.817974,tbd
0.2,0.7000000000000001,0.5,0.817457,tbd
0.2,0.7000000000000001,0.6,0.815505,tbd
0.2,0.7000000000000001,0.7000000000000001,0.813319,tbd
0.2,0.7000000000000001,0.8,0.810666,tbd
0.2,0.7000000000000001,0.9,0.810666,tbd
0.2,0.8,0.1,0.812308,tbd
0.2,0.8,0.2,0.812308,tbd
0.2,0.8,0.30000000000000004,0.812234,tbd
0.2,0.8,0.4,0.812031,tbd
0.2,0.8,0.5,0.811506,tbd
0.2,0.8,0.6,0.809565,tbd
0.2,0.8,0.7000000000000001,0.8074,tbd
0.2,0.8,0.8,0.80479,tbd
0.2,0.8,0.9,0.80479,tbd
0.2,0.9,0.1,0.789398,tbd
0.2,0.9,0.2,0.789398,tbd
0.2,0.9,0.30000000000000004,0.789314,tbd
0.2,0.9,0.4,0.789071,tbd
0.2,0.9,0.5,0.788481,tbd
0.2,0.9,0.6,0.78646,tbd
0.2,0.9,0.7000000000000001,0.784239,tbd
0.2,0.9,0.8,0.781644,tbd
0.2,0.9,0.9,0.781644,tbd
0.30000000000000004,0.1,0.1,0.821317,tbd
0.30000000000000004,0.1,0.2,0.821317,tbd
0.30000000000000004,0.1,0.30000000000000004,0.821317,tbd
0.30000000000000004,0.1,0.4,0.820978,tbd
0.30000000000000004,0.1,0.5,0.819577,tbd
0.30000000000000004,0.1,0.6,0.815545,tbd
0.30000000000000004,0.1,0.7000000000000001,0.809916,tbd
0.30000000000000004,0.1,0.8,0.801293,tbd
0.30000000000000004,0.1,0.9,0.790501,tbd
0.30000000000000004,0.2,0.1,0.821317,tbd
0.30000000000000004,0.2,0.2,0.821317,tbd
0.30000000000000004,0.2,0.30000000000000004,0.821317,tbd
0.30000000000000004,0.2,0.4,0.820978,tbd
0.30000000000000004,0.2,0.5,0.819577,tbd
0.30000000000000004,0.2,0.6,0.815857,tbd
0.30000000000000004,0.2,0.7000000000000001,0.811895,tbd
0.30000000000000004,0.2,0.8,0.808793,tbd
0.30000000000000004,0.2,0.9,0.808793,tbd
0.30000000000000004,0.30000000000000004,0.1,0.821317,tbd
0.30000000000000004,0.30000000000000004,0.2,0.821317,tbd
0.30000000000000004,0.30000000000000004,0.30000000000000004,0.821317,tbd
0.30000000000000004,0.30000000000000004,0.4,0.820978,tbd
0.30000000000000004,0.30000000000000004,0.5,0.819971,tbd
0.30000000000000004,0.30000000000000004,0.6,0.816794,tbd
0.30000000000000004,0.30000000000000004,0.7000000000000001,0.814493,tbd
0.30000000000000004,0.30000000000000004,0.8,0.814493,tbd
0.30000000000000004,0.30000000000000004,0.9,0.814493,tbd
0.30000000000000004,0.4,0.1,0.821208,tbd
0.30000000000000004,0.4,0.2,0.821208,tbd
0.30000000000000004,0.4,0.30000000000000004,0.821208,tbd
0.30000000000000004,0.4,0.4,0.821036,tbd
0.30000000000000004,0.4,0.5,0.820364,tbd
0.30000000000000004,0.4,0.6,0.818534,tbd
0.30000000000000004,0.4,0.7000000000000001,0.817776,tbd
0.30000000000000004,0.4,0.8,0.817776,tbd
0.30000000000000004,0.4,0.9,0.817776,tbd
0.30000000000000004,0.5,0.1,0.820922,tbd
0.30000000000000004,0.5,0.2,0.820922,tbd
0.30000000000000004,0.5,0.30000000000000004,0.820922,tbd
0.30000000000000004,0.5,0.4,0.820751,tbd
0.30000000000000004,0.5,0.5,0.82068,tbd
0.30000000000000004,0.5,0.6,0.819093,tbd
0.30000000000000004,0.5,0.7000000000000001,0.818355,tbd
0.30000000000000004,0.5,0.8,0.818355,tbd
0.30000000000000004,0.5,0.9,0.818355,tbd
0.30000000000000004,0.6,0.1,0.820492,tbd
0.30000000000000004,0.6,0.2,0.820492,tbd
0.30000000000000004,0.6,0.30000000000000004,0.820492,tbd
0.30000000000000004,0.6,0.4,0.820323,tbd
0.30000000000000004,0.6,0.5,0.820254,tbd
0.30000000000000004,0.6,0.6,0.818697,tbd
0.30000000000000004,0.6,0.7000000000000001,0.817975,tbd
0.30000000000000004,0.6,0.8,0.817975,tbd
0.30000000000000004,0.6,0.9,0.817975,tbd
0.30000000000000004,0.7000000000000001,0.1,0.817025,tbd
0.30000000000000004,0.7000000000000001,0.2,0.817025,tbd
0.30000000000000004,0.7000000000000001,0.30000000000000004,0.817025,tbd
0.30000000000000004,0.7000000000000001,0.4,0.816854,tbd
0.30000000000000004,0.7000000000000001,0.5,0.816776,tbd
0.30000000000000004,0.7000000000000001,0.6,0.81523,tbd
0.30000000000000004,0.7000000000000001,0.7000000000000001,0.814515,tbd
0.30000000000000004,0.7000000000000001,0.8,0.814515,tbd
0.30000000000000004,0.7000000000000001,0.9,0.814515,tbd
0.30000000000000004,0.8,0.1,0.810423,tbd
0.30000000000000004,0.8,0.2,0.810423,tbd
0.30000000000000004,0.8,0.30000000000000004,0.810423,tbd
0.30000000000000004,0.8,0.4,0.810249,tbd
0.30000000000000004,0.8,0.5,0.810155,tbd
0.30000000000000004,0.8,0.6,0.808611,tbd
0.30000000000000004,0.8,0.7000000000000001,0.807899,tbd
0.30000000000000004,0.8,0.8,0.807899,tbd
0.30000000000000004,0.8,0.9,0.807899,tbd
0.30000000000000004,0.9,0.1,0.787756,tbd
0.30000000000000004,0.9,0.2,0.787756,tbd
0.30000000000000004,0.9,0.30000000000000004,0.787756,tbd
0.30000000000000004,0.9,0.4,0.787572,tbd
0.30000000000000004,0.9,0.5,0.787429,tbd
0.30000000000000004,0.9,0.6,0.785834,tbd
0.30000000000000004,0.9,0.7000000000000001,0.7851,tbd
0.30000000000000004,0.9,0.8,0.7851,tbd
0.30000000000000004,0.9,0.9,0.7851,tbd
0.4,0.1,0.1,0.821547,tbd
0.4,0.1,0.2,0.821547,tbd
0.4,0.1,0.30000000000000004,0.821547,tbd
0.4,0.1,0.4,0.821223,tbd
0.4,0.1,0.5,0.819482,tbd
0.4,0.1,0.6,0.815635,tbd
0.4,0.1,0.7000000000000001,0.810906,tbd
0.4,0.1,0.8,0.80246,tbd
0.4,0.1,0.9,0.791875,tbd
0.4,0.2,0.1,0.821547,tbd
0.4,0.2,0.2,0.821547,tbd
0.4,0.2,0.30000000000000004,0.821547,tbd
0.4,0.2,0.4,0.821223,tbd
0.4,0.2,0.5,0.819653,tbd
0.4,0.2,0.6,0.816684,tbd
0.4,0.2,0.7000000000000001,0.81359,tbd
0.4,0.2,0.8,0.810558,tbd
0.4,0.2,0.9,0.810558,tbd
0.4,0.30000000000000004,0.1,0.821547,tbd
0.4,0.30000000000000004,0.2,0.821547,tbd
0.4,0.30000000000000004,0.30000000000000004,0.821547,tbd
0.4,0.30000000000000004,0.4,0.821396,tbd
0.4,0.30000000000000004,0.5,0.820238,tbd
0.4,0.30000000000000004,0.6,0.81781,tbd
0.4,0.30000000000000004,0.7000000000000001,0.816329,tbd
0.4,0.30000000000000004,0.8,0.816329,tbd
0.4,0.30000000000000004,0.9,0.816329,tbd
0.4,0.4,0.1,0.821476,tbd
0.4,0.4,0.2,0.821476,tbd
0.4,0.4,0.30000000000000004,0.821476,tbd
0.4,0.4,0.4,0.821476,tbd
0.4,0.4,0.5,0.820652,tbd
0.4,0.4,0.6,0.819545,tbd
0.4,0.4,0.7000000000000001,0.819545,tbd
0.4,0.4,0.8,0.819545,tbd
0.4,0.4,0.9,0.819545,tbd
0.4,0.5,0.1,0.821445,tbd
0.4,0.5,0.2,0.821445,tbd
0.4,0.5,0.30000000000000004,0.821445,tbd
0.4,0.5,0.4,0.821445,tbd
0.4,0.5,0.5,0.821221,tbd
0.4,0.5,0.6,0.820337,tbd
0.4,0.5,0.7000000000000001,0.820337,tbd
0.4,0.5,0.8,0.820337,tbd
0.4,0.5,0.9,0.820337,tbd
0.4,0.6,0.1,0.82031,tbd
0.4,0.6,0.2,0.82031,tbd
0.4,0.6,0.30000000000000004,0.82031,tbd
0.4,0.6,0.4,0.82031,tbd
0.4,0.6,0.5,0.820089,tbd
0.4,0.6,0.6,0.81922,tbd
0.4,0.6,0.7000000000000001,0.81922,tbd
0.4,0.6,0.8,0.81922,tbd
0.4,0.6,0.9,0.81922,tbd
0.4,0.7000000000000001,0.1,0.816079,tbd
0.4,0.7000000000000001,0.2,0.816079,tbd
0.4,0.7000000000000001,0.30000000000000004,0.816079,tbd
0.4,0.7000000000000001,0.4,0.816079,tbd
0.4,0.7000000000000001,0.5,0.815857,tbd
0.4,0.7000000000000001,0.6,0.814998,tbd
0.4,0.7000000000000001,0.7000000000000001,0.814998,tbd
0.4,0.7000000000000001,0.8,0.814998,tbd
0.4,0.7000000000000001,0.9,0.814998,tbd
0.4,0.8,0.1,0.80956,tbd
0.4,0.8,0.2,0.80956,tbd
0.4,0.8,0.30000000000000004,0.80956,tbd
0.4,0.8,0.4,0.80956,tbd
0.4,0.8,0.5,0.809335,tbd
0.4,0.8,0.6,0.808483,tbd
0.4,0.8,0.7000000000000001,0.808483,tbd
0.4,0.8,0.8,0.808483,tbd
0.4,0.8,0.9,0.808483,tbd
0.4,0.9,0.1,0.787066,tbd
0.4,0.9,0.2,0.787066,tbd
0.4,0.9,0.30000000000000004,0.787066,tbd
0.4,0.9,0.4,0.787066,tbd
0.4,0.9,0.5,0.786823,tbd
0.4,0.9,0.6,0.78596,tbd
0.4,0.9,0.7000000000000001,0.78596,tbd
0.4,0.9,0.8,0.78596,tbd
0.4,0.9,0.9,0.78596,tbd
0.5,0.1,0.1,0.820784,tbd
0.5,0.1,0.2,0.820784,tbd
0.5,0.1,0.30000000000000004,0.820661,tbd
0.5,0.1,0.4,0.819924,tbd
0.5,0.1,0.5,0.817966,tbd
0.5,0.1,0.6,0.815116,tbd
0.5,0.1,0.7000000000000001,0.810502,tbd
0.5,0.1,0.8,0.802235,tbd
0.5,0.1,0.9,0.791856,tbd
0.5,0.2,0.1,0.820784,tbd
0.5,0.2,0.2,0.820784,tbd
0.5,0.2,0.30000000000000004,0.820661,tbd
0.5,0.2,0.4,0.820261,tbd
0.5,0.2,0.5,0.818937,tbd
0.5,0.2,0.6,0.816937,tbd
0.5,0.2,0.7000000000000001,0.81392,tbd
0.5,0.2,0.8,0.810957,tbd
0.5,0.2,0.9,0.810957,tbd
0.5,0.30000000000000004,0.1,0.820679,tbd
0.5,0.30000000000000004,0.2,0.820679,tbd
0.5,0.30000000000000004,0.30000000000000004,0.820679,tbd
0.5,0.30000000000000004,0.4,0.820529,tbd
0.5,0.30000000000000004,0.5,0.819608,tbd
0.5,0.30000000000000004,0.6,0.818127,tbd
0.5,0.30000000000000004,0.7000000000000001,0.816682,tbd
0.5,0.30000000000000004,0.8,0.816682,tbd
0.5,0.30000000000000004,0.9,0.816682,tbd
0.5,0.4,0.1,0.820473,tbd
0.5,0.4,0.2,0.820473,tbd
0.5,0.4,0.30000000000000004,0.820473,tbd
0.5,0.4,0.4,0.820473,tbd
0.5,0.4,0.5,0.819881,tbd
0.5,0.4,0.6,0.819685,tbd
0.5,0.4,0.7000000000000001,0.819685,tbd
0.5,0.4,0.8,0.819685,tbd
0.5,0.4,0.9,0.819685,tbd
0.5,0.5,0.1,0.819679,tbd
0.5,0.5,0.2,0.819679,tbd
